"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-01","   50","   80","7.38"," 0553"," 0334","0.00",,"0.0","0.0",,"44","24","  146","  310",,,"  270",,"12.1",,,"18.3",,,,,,,,,,,,,,,,,"    1",,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-02","   70","   70","6.26"," 1251"," 1448","0.00",,"0.0","0.0",,"48","23","  295","  210",,,"  225",,"13.0",,,"17.2","    1",,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-03","   90","  100","10.07"," 1150"," 1903","0.00",,"0.0","0.0",,"59","39","   56","  180",,,"  180",,"17.9",,,"23.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-04","  100","  100","12.53"," 0454"," 0403","0.63",,"0.0","0.0",,"64","39","   99","  180",,,"  180",,"19.9",,,"27.5","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-05","  100","  100","5.37"," 2350"," 2105","0.00",,"0.0","0.0",,"46","39","    0","   20",,,"  360",,"10.1",,,"12.8",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-06","   90","   90","6.93"," 0850"," 0947","0.00",,"0.0","0.0",,"46","37","   38","   40",,,"  360",,"12.1",,,"15.0","    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-07","  100","  100","4.47"," 2051"," 2101","0.03",,"0.0","0.0",,"46","32","    0","  340",,,"  360",,"8.1",,,"10.3","    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-08","   40","   30","8.05"," 1455"," 1354","0.01",,"0.0","0.0",,"54","38","  436","  250",,,"  270",,"12.1",,,"19.5",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-09","   40","   40","13.20"," 1552"," 1623","0.00",,"0.0","0.0",,"63","34","  423","  270",,,"  270",,"25.1",,,"34.4",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-10","   20","   20","8.50"," 0851"," 0332","0.00",,"0.0","0.0",,"57","40","  540","  330",,,"  315",,"12.1",,,"18.3",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-11","   30","   40","14.32"," 2054"," 2059","0.00",,"0.0","0.0",,"65","40","  537","  320",,,"  315",,"29.1",,,"35.6",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-12","   20","   50","14.54"," 1451"," 1004","0.00",,"0.0","0.0",,"41","28","  402","  310",,,"  315",,"21.0",,,"36.7",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-13","   50","   70","6.04"," 2350"," 1152","0.00",,"0.0","0.0",,"44","21","  490","  340",,,"  225",,"12.1",,,"11.4",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-14","   80","   70","12.53"," 1252"," 1211","0.00",,"0.0","0.0",,"56","28","  174","  190",,,"  180",,"19.9",,,"30.0",,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-15","   90","   90","10.29"," 1053"," 1057","0.00",,"0.0","0.0",,"61","50","   43","  210",,,"  225",,"15.0",,,"20.8",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","1990-01-16","   50","   40","7.83"," 1553"," 1436","0.00",,"0.0","0.0",,"72","48","  331","  160",,,"  225",,"13.0",,,"21.9",,,,,,,,,,,,,,,"    1",,,,,,
